iter	Passed	Remaining
553	70985	57147
554	71116	57020
555	71245	56893
556	71387	56776
557	71515	56648
558	71651	56526
559	71779	56398
560	71918	56278
561	72072	56170
562	72220	56057
563	72360	55937
564	72489	55810
565	72629	55691
566	72759	55564
567	72889	55437
568	73020	55311
569	73148	55182
570	73271	55049
571	73400	54921
572	73531	54795
573	73672	54677
574	73821	54563
575	74028	54493
576	74172	54376
577	74327	54267
578	74476	54153
579	74649	54056
580	74803	53946
581	74947	53827
582	75085	53706
583	75215	53578
584	75345	53450
585	75477	53323
586	75635	53215
587	75761	53084
588	75892	52957
589	76025	52831
590	76154	52702
591	76288	52577
592	76422	52451
593	76555	52325
594	76684	52197
595	76817	52070
596	76951	51945
597	77083	51818
598	77216	51692
599	77348	51565
600	77482	51440
601	77613	51312
602	77748	51187
603	77878	51059
604	78009	50931
605	78137	50802
606	78274	50678
607	78408	50552
608	78541	50426
609	78672	50298
610	78804	50171
611	78938	50045
612	79070	49918
613	79203	49792
614	79339	49667
615	79469	49539
616	79595	49408
617	79727	49281
618	79859	49154
619	79991	49027
620	80131	48904
621	80278	48786
622	80406	48657
623	80535	48527
624	80666	48399
625	80794	48270
626	80926	48143
627	81057	48014
628	81184	47884
629	81328	47764
630	81458	47635
631	81588	47507
632	81717	47377
633	81849	47250
634	81981	47123
635	82112	46995
636	82242	46866
637	82373	46738
638	82504	46610
639	82634	46481
640	82762	46352
641	82892	46223
642	83031	46099
643	83174	45978
644	83304	45849
645	83434	45721
646	83561	45590
647	83690	45461
648	83823	45334
649	83956	45207
650	84090	45080
651	84220	44951
652	84354	44825
653	84482	44695
654	84616	44568
655	84745	44439
656	84881	44314
657	85014	44186
658	85148	44060
659	85278	43931
660	85411	43803
661	85542	43676
662	85671	43546
663	85800	43417
664	85930	43288
665	86069	43164
666	86204	43037
667	86334	42908
668	86464	42779
669	86606	42656
670	86771	42545
671	86903	42417
672	87037	42290
673	87170	42162
674	87305	42035
675	87438	41908
676	87567	41778
677	87699	41650
678	87848	41530
679	87974	41399
680	88112	41274
681	88245	41146
682	88368	41014
683	88496	40884
684	88626	40755
685	88755	40625
686	88887	40497
687	89016	40367
688	89146	40238
689	89275	40109
690	89416	39985
691	89547	39856
692	89675	39726
693	89801	39595
694	89932	39466
695	90091	39350
696	90233	39226
697	90364	39097
698	90492	38967
699	90621	38837
700	90747	38706
701	90881	38579
702	91013	38450
703	91142	38321
704	91284	38196
705	91419	38069
706	91548	37940
707	91674	37809
708	91797	37677
709	91928	37548
710	92061	37420
711	92191	37290
712	92324	37162
713	92453	37033
714	92584	36904
715	92723	36778
716	92856	36650
717	92993	36523
718	93131	36397
719	93260	36267
720	93388	36137
721	93522	36009
722	93662	35884
723	93791	35754
724	93930	35628
725	94071	35503
726	94205	35375
727	94340	35247
728	94472	35119
729	94604	34990
730	94734	34861
731	94863	34731
732	94995	34602
733	95130	34475
734	95270	34349
735	95402	34220
736	95534	34091
737	95665	33962
738	95794	33832
739	95925	33703
740	96054	33573
741	96182	33443
742	96312	33314
743	96438	33183
744	96566	33053
745	96697	32923
746	96833	32796
747	96964	32667
748	97105	32541
749	97234	32411
750	97362	32281
751	97494	32152
752	97627	32023
753	97756	31894
754	97886	31764
755	98015	31634
756	98147	31505
757	98282	31377
758	98414	31248
759	98545	31119
760	98676	30990
761	98802	30859
762	98938	30731
763	99069	30602
764	99197	30472
765	99327	30342
766	99458	30213
767	99589	30084
768	99720	29954
769	99855	29826
770	99982	29696
771	100111	29566
772	100250	29439
773	100380	29309
774	100523	29184
775	100650	29053
776	100781	28924
777	100910	28794
778	101039	28664
779	101175	28536
780	101306	28407
781	101442	28279
782	101576	28150
783	101710	28022
784	101845	27894
785	101976	27764
786	102106	27634
787	102236	27505
788	102387	27381
789	102537	27256
790	102685	27131
791	102826	27004
792	102955	26874
793	103087	26745
794	103216	26615
795	103347	26485
796	103477	26356
797	103624	26230
798	103749	26099
799	103877	25969
800	104024	25843
801	104151	25713
802	104282	25583
803	104411	25453
804	104545	25324
805	104674	25194
806	104803	25064
807	104935	24935
808	105070	24806
809	105200	24676
810	105331	24546
811	105460	24416
812	105590	24287
813	105718	24156
814	105849	24027
815	105980	23897
816	106125	23771
817	106260	23642
818	106393	23512
819	106520	23382
820	106649	23252
821	106778	23122
822	106912	22993
823	107042	22863
824	107177	22734
825	107305	22604
826	107437	22474
827	107575	22346
828	107703	22216
829	107833	22086
830	107964	21956
831	108093	21826
832	108222	21696
833	108354	21567
834	108485	21437
835	108621	21308
836	108750	21178
837	108876	21047
838	109005	20917
839	109136	20787
840	109266	20657
841	109408	20530
842	109540	20400
843	109671	20271
844	109796	20140
845	109931	20011
846	110063	19881
847	110216	19755
848	110349	19626
849	110485	19497
850	110617	19367
851	110762	19240
852	110893	19110
853	111055	18986
854	111193	18857
855	111324	18727
856	111458	18598
857	111587	18467
858	111720	18338
859	111851	18208
860	111975	18077
861	112099	17946
862	112230	17816
863	112362	17686
864	112491	17556
865	112619	17426
866	112750	17296
867	112884	17166
868	113016	17036
869	113143	16906
870	113273	16776
871	113412	16647
872	113539	16517
873	113667	16386
874	113809	16258
875	113939	16128
876	114075	15999
877	114207	15869
878	114337	15739
879	114467	15609
880	114604	15480
881	114737	15350
882	114864	15219
883	114998	15090
884	115132	14960
885	115272	14831
886	115405	14702
887	115533	14571
888	115665	14441
889	115792	14311
890	115929	14182
891	116060	14052
892	116203	13923
893	116333	13793
894	116464	13663
895	116596	13533
896	116726	13403
897	116856	13273
898	116990	13143
899	117117	13013
900	117261	12884
901	117390	12754
902	117519	12623
903	117661	12495
904	117791	12364
905	117926	12235
906	118054	12104
907	118187	11974
908	118318	11844
909	118448	11714
910	118577	11584
911	118716	11455
912	118845	11324
913	118975	11194
914	119106	11064
915	119245	10935
916	119377	10805
917	119509	10675
918	119636	10544
919	119768	10414
920	119897	10284
921	120030	10154
922	120155	10023
923	120290	9894
924	120417	9763
925	120550	9633
926	120708	9505
927	120843	9375
928	120972	9245
929	121105	9115
930	121242	8985
931	121387	8856
932	121550	8728
933	121709	8600
934	121839	8470
935	121969	8339
936	122100	8209
937	122236	8079
938	122363	7949
939	122496	7818
940	122626	7688
941	122754	7558
942	122888	7428
943	123026	7298
944	123164	7168
945	123295	7037
946	123438	6908
947	123569	6778
948	123711	6648
949	123853	6518
950	123986	6388
951	124123	6258
952	124258	6128
953	124392	5997
954	124523	5867
955	124651	5737
956	124782	5606
957	124917	5476
958	125050	5346
959	125180	5215
960	125311	5085
961	125442	4955
962	125575	4824
963	125707	4694
964	125834	4563
965	125966	4433
966	126092	4303
967	126226	4172
968	126359	4042
969	126486	3911
970	126617	3781
971	126758	3651
972	126891	3521
973	127020	3390
974	127152	3260
975	127280	3129
976	127410	2999
977	127540	2869
978	127671	2738
979	127802	2608
980	127934	2477
981	128059	2347
982	128194	2216
983	128331	2086
984	128458	1956
985	128587	1825
986	128722	1695
987	128854	1565
988	128986	1434
989	129116	1304
990	129245	1173
991	129387	1043
992	129521	913
993	129654	782
994	129791	652
995	129923	521
996	130055	391
997	130191	260
998	130325	130
999	130457	0
