iter	Logloss
225	0.5252950658
226	0.5250964854
227	0.5250618128
228	0.5249191817
229	0.5247614003
230	0.5245772818
231	0.5242988733
232	0.5241484811
233	0.5238060667
234	0.5236265557
235	0.5234279571
236	0.5232017795
237	0.5230094984
238	0.5228336502
239	0.5226208425
240	0.5225384541
241	0.5223056891
242	0.5220628842
243	0.521884346
244	0.5216820554
245	0.5215459989
246	0.5213512301
247	0.5211723211
248	0.5210130997
249	0.5208544917
250	0.5207964023
251	0.5206762342
252	0.5205139951
253	0.5204151301
254	0.5202454746
255	0.519976484
256	0.5194553685
257	0.5193144646
258	0.5190501512
259	0.5188146405
260	0.5186764853
261	0.5184977486
262	0.5183352831
263	0.5181456049
264	0.5180380491
265	0.5178776639
266	0.5177088383
267	0.5174147979
268	0.5172225369
269	0.5170671567
270	0.5168108768
271	0.5166425436
272	0.5165688515
273	0.5163917673
274	0.5162611462
275	0.516140304
276	0.5160646248
277	0.51579498
278	0.5156787539
279	0.5155808788
280	0.5154244743
281	0.5152427578
282	0.5147283941
283	0.5146550812
284	0.5145829017
285	0.5145052552
286	0.5142855943
287	0.514173982
288	0.514081153
289	0.5139659847
290	0.513814847
291	0.513671662
292	0.5135849607
293	0.5134315776
294	0.5132479585
295	0.5130476703
296	0.5128520071
297	0.5126888566
298	0.5126361449
299	0.51252242
300	0.5124077045
301	0.5122776922
302	0.512036045
303	0.5119141879
304	0.5117675252
305	0.5115454594
306	0.5113333131
307	0.5112282852
308	0.5110172285
309	0.5107651881
310	0.5106098199
311	0.5105137943
312	0.510399071
313	0.5102592256
314	0.5101898915
315	0.5100275059
316	0.5098980194
317	0.5097487107
318	0.5096371356
319	0.5095444352
320	0.5094378997
321	0.5093056915
322	0.5091963601
323	0.5090821966
324	0.508974372
325	0.5088844455
326	0.5087628917
327	0.5085659825
328	0.5083543496
329	0.5082097998
330	0.508022273
331	0.507907615
332	0.5078116826
333	0.507746896
334	0.5076166225
335	0.5074769871
336	0.5072470957
337	0.5071273646
338	0.507078091
339	0.507003009
340	0.5068485439
341	0.5066627665
342	0.5065149014
343	0.5064479057
344	0.5063261421
345	0.5062525898
346	0.5061013416
347	0.5059940986
348	0.5058938687
349	0.5057055948
350	0.5055966442
351	0.5054349508
352	0.505396671
353	0.505282142
354	0.5051305561
355	0.5050489682
356	0.5048122974
357	0.5047709401
358	0.5046332988
359	0.504462732
360	0.5043655707
361	0.504227848
362	0.5040989681
363	0.5039808351
364	0.5039487135
365	0.5036874356
366	0.5035456903
367	0.5034001018
368	0.5032843108
369	0.5031062293
370	0.5029328432
371	0.5028129064
372	0.5027723794
373	0.5027102564
374	0.5026082915
375	0.50245805
376	0.5023259009
377	0.5022969749
378	0.5021957395
379	0.5020128936
380	0.5019131624
381	0.5018240448
382	0.5017332441
383	0.5016604281
384	0.5014104739
385	0.5013205188
386	0.501193566
387	0.501128799
388	0.5009599068
389	0.5009072854
390	0.5008158225
391	0.500706671
392	0.5006210687
393	0.5005050853
394	0.5004469822
395	0.5002728172
396	0.500186536
397	0.5000581257
398	0.4999350221
399	0.499882178
400	0.4996217847
401	0.4993901722
402	0.4993383643
403	0.4992435515
404	0.4991321286
405	0.4989663767
406	0.498872229
407	0.498727207
408	0.4986740162
409	0.4985378312
410	0.4983753102
411	0.4983631852
412	0.4983173692
413	0.4981734548
414	0.4979865778
415	0.4978424609
416	0.497685673
417	0.4975985464
418	0.4975450445
419	0.49745521
420	0.4973656779
421	0.4972152173
422	0.4970859081
423	0.4969331415
424	0.4968106391
425	0.4967898548
426	0.4967049472
427	0.4966343056
428	0.4965985395
429	0.4965103828
430	0.49648501
431	0.4963414482
432	0.4962148932
433	0.4960825696
434	0.4959323774
435	0.4957648763
436	0.4956424602
437	0.4955478428
438	0.4953900689
439	0.495189473
440	0.4950867877
441	0.4949904682
442	0.4949281616
443	0.4947982384
444	0.4946054089
445	0.4945384214
446	0.4944810567
447	0.4943420436
448	0.4942291967
449	0.494011838
450	0.4939196369
451	0.4937450984
452	0.4936346905
453	0.4935321653
454	0.4934475866
455	0.4933793958
456	0.4932362284
457	0.4930618892
458	0.4929798685
459	0.4928951661
460	0.4928319481
461	0.4926725325
462	0.4925842094
463	0.4925108922
464	0.4923530596
465	0.4922050661
466	0.492077878
467	0.4919242501
468	0.4918289622
469	0.4917221662
470	0.4915195869
471	0.4914084514
472	0.4913360825
473	0.4912636603
474	0.4911455762
475	0.4909404126
476	0.4907148005
477	0.490610114
478	0.4904485956
479	0.4904247487
480	0.4904101852
481	0.490251568
482	0.4901255737
483	0.4900315995
484	0.489986569
485	0.4898731093
486	0.4896566224
487	0.4895367944
488	0.4894588785
489	0.4894477212
490	0.4894153397
491	0.4892876787
492	0.4892257368
493	0.489158563
494	0.4890883834
495	0.4889814905
496	0.4888331532
497	0.488707861
498	0.4886145743
499	0.4885529871
500	0.4884128289
501	0.4883215422
502	0.4882103782
503	0.4881011168
504	0.4880444538
505	0.4879720927
506	0.487851618
507	0.4877469011
508	0.4876287121
509	0.4874525084
510	0.4873146706
511	0.4871831676
512	0.4870134084
513	0.4870064856
514	0.4869440433
515	0.4868438132
516	0.486767874
517	0.4867110831
518	0.4866589787
519	0.4864344913
520	0.4864175465
521	0.4863362162
522	0.4861681029
523	0.4860346186
524	0.4860119112
525	0.4859659799
526	0.4858043235
527	0.4856796694
528	0.4855140079
529	0.4854376818
530	0.4852796184
531	0.4851559203
532	0.4850106467
533	0.4849254815
534	0.4848375592
535	0.4847735709
536	0.4845985692
537	0.4845037772
538	0.4844531863
539	0.484321885
540	0.4841408367
541	0.4840575972
542	0.484016484
543	0.4839793364
544	0.4839478999
545	0.4838673855
546	0.483670268
547	0.4836461719
548	0.4835501882
549	0.4834351791
550	0.4833193749
551	0.4832120063
552	0.4831319493
553	0.4830718085
554	0.4829773461
555	0.4828764299
556	0.4827422032
557	0.4826244336
558	0.4825630105
559	0.4824510747
560	0.4823534083
561	0.482256355
562	0.4822335895
563	0.4821181468
564	0.4820972277
565	0.4820782965
566	0.4819964287
567	0.4819100111
568	0.4817255085
569	0.4816095511
570	0.481463707
571	0.4814121612
572	0.4812725655
573	0.4812067877
574	0.4810322072
575	0.4809245639
576	0.4808523036
577	0.4808084601
578	0.4807222927
579	0.4806723724
580	0.4805813976
581	0.4804316698
582	0.4803642881
583	0.4803142016
584	0.4802857415
585	0.4802224329
586	0.4801864264
587	0.4801605619
588	0.4800722348
589	0.4800038527
590	0.4799035622
591	0.4798682595
592	0.4797725374
593	0.4797180925
594	0.4796069541
595	0.4795226596
596	0.479481949
597	0.4794082317
598	0.4793596261
599	0.4792890575
600	0.4791952359
601	0.4790532387
602	0.4789426941
603	0.478789875
604	0.4787044928
605	0.4786405779
606	0.4784615896
607	0.4783917862
608	0.4783296814
609	0.4781407115
610	0.4779786124
611	0.4778970765
612	0.4778473096
613	0.4777519468
614	0.4775245254
615	0.4773451315
616	0.4771615818
617	0.4770740597
618	0.4769800678
619	0.4768978447
620	0.4768618752
621	0.476788698
622	0.4767352222
623	0.4766766839
624	0.4765836402
625	0.4765476509
626	0.4764722785
627	0.4763451852
628	0.4761737915
629	0.4759507546
630	0.4758661482
631	0.4757807111
632	0.4757337098
633	0.4755959084
634	0.4755237533
635	0.4754391796
636	0.4753286436
637	0.4752613868
638	0.4750822795
639	0.4749841276
640	0.474972867
641	0.4749210995
642	0.4748428617
643	0.4747616706
644	0.4746406294
645	0.4744907418
646	0.4743356692
647	0.4742756881
648	0.47422022
649	0.4741353977
650	0.4740444581
651	0.4739601593
652	0.473836569
653	0.4737746684
654	0.4737150335
655	0.4736521086
656	0.473494319
657	0.4733487568
658	0.4732702229
659	0.4731256311
660	0.4729968965
661	0.4728716861
662	0.4728646566
663	0.4728082864
664	0.4727431022
665	0.4726615
666	0.4725317607
667	0.4723829047
668	0.4722924569
669	0.4721639172
670	0.4719108331
671	0.4718487686
672	0.4717598865
673	0.4716400711
674	0.4715905239
675	0.4714611792
676	0.4713806131
677	0.4713210388
678	0.4712378515
679	0.4711739851
680	0.4710833788
681	0.471003534
682	0.4709601269
683	0.4708643753
684	0.4708304796
685	0.4707701584
686	0.4707245834
687	0.4706570197
688	0.4706241529
689	0.4705671151
690	0.4705108374
691	0.4703934091
692	0.4703348944
693	0.4702516344
694	0.4702083993
695	0.4700960973
696	0.4700389838
697	0.4700063117
698	0.4699324516
699	0.4698507117
700	0.4697339271
701	0.4696986449
702	0.4696130187
703	0.4695116083
704	0.4694565167
705	0.4694058603
706	0.4693274698
707	0.4691698605
708	0.4690335067
709	0.4688992413
710	0.4688474493
711	0.4687083083
712	0.4685233028
713	0.4683635131
714	0.4683123095
715	0.4681747909
716	0.4680322023
717	0.4679718954
718	0.4678575074
719	0.4678098898
720	0.4677510564
721	0.4676123143
722	0.4674409254
723	0.4674042697
724	0.4673481973
725	0.4672575093
726	0.467172663
727	0.4669803009
728	0.4668829459
729	0.4667684778
730	0.4666343095
731	0.466586478
732	0.4665186637
733	0.4664740709
734	0.4663922437
735	0.4662926807
736	0.4662074829
737	0.4660407637
738	0.4659588139
739	0.4658437173
740	0.4657983362
741	0.4656336334
742	0.4655180976
743	0.4654357052
744	0.4653380937
745	0.4652186737
746	0.4651863237
747	0.4650246262
748	0.4648869958
749	0.4647842915
750	0.4647691324
751	0.4647250595
752	0.4645873733
753	0.46443427
754	0.4643422811
755	0.4642593008
756	0.4642224408
757	0.4641010042
758	0.4639668536
759	0.4639379892
760	0.4638000346
761	0.4637226169
762	0.4636255669
763	0.4635305433
764	0.4633922801
765	0.4633189314
766	0.4632105637
767	0.4630639594
768	0.4630052567
769	0.4629334726
770	0.4628782221
771	0.4627846997
772	0.4626634873
773	0.4626292168
774	0.4625742714
775	0.4624963322
776	0.4623855513
777	0.4622906677
778	0.4621809598
779	0.4619869752
780	0.461954494
781	0.4618597696
782	0.4617594883
783	0.4616728365
784	0.4615797414
785	0.4614651575
786	0.4614283384
787	0.4614044598
788	0.4612651109
789	0.4612176532
790	0.4611776692
791	0.4610965577
792	0.4610862369
793	0.4610439387
794	0.4609945733
795	0.4608440531
796	0.4607815885
797	0.460721405
798	0.4606369595
799	0.4605908612
800	0.4604544759
801	0.4603220242
802	0.4602688308
803	0.4602016257
804	0.4601262227
805	0.4600799353
806	0.460023233
807	0.4599921859
808	0.4598582362
809	0.459819699
810	0.4596760475
811	0.4596188128
812	0.4595431125
813	0.4594959094
814	0.4594259156
815	0.4593405415
816	0.4592461456
817	0.4590937644
818	0.4590408724
819	0.4589257145
820	0.4588559537
821	0.4587627699
822	0.4586880958
823	0.4585820045
824	0.458451111
825	0.4583438046
826	0.4582428492
827	0.4581018481
828	0.4580595061
829	0.4580110282
830	0.4578954279
831	0.4577588943
832	0.457735146
833	0.4576876598
834	0.4575950064
835	0.4575479514
836	0.4574644646
837	0.4573790675
838	0.4573059987
839	0.4571424475
840	0.4570087487
841	0.4568893582
842	0.4568084062
843	0.4567315088
844	0.4566357408
845	0.4566011927
846	0.4565607219
847	0.4564632409
848	0.4563122033
849	0.4562440529
850	0.4561375868
851	0.4561326516
852	0.4560274591
853	0.4559899962
854	0.4558402982
855	0.4557603546
856	0.4556760934
857	0.455518567
858	0.4554474478
859	0.4553655488
860	0.4552693079
861	0.4552386331
862	0.4551242703
863	0.4549930493
864	0.4549041987
865	0.4547508339
866	0.4546321559
867	0.4545604795
868	0.4544587678
869	0.4544349868
870	0.4543775646
871	0.4542922457
872	0.4540992206
873	0.4540013388
874	0.4538980781
875	0.4538475213
876	0.4537863791
877	0.4535945183
878	0.4534521283
879	0.4534345518
880	0.4533634344
881	0.4532875648
882	0.45325262
883	0.4531599
884	0.4531199876
885	0.4530952168
886	0.4529866469
887	0.4529402233
888	0.4528407944
889	0.4527995531
890	0.4527012028
891	0.4526236915
892	0.4524828878
893	0.4524031353
894	0.4523733219
895	0.4523288613
896	0.4522793587
897	0.4522167148
898	0.4521967848
899	0.4521270957
900	0.4519543385
901	0.4519289678
902	0.451877765
903	0.4517540663
904	0.4516401262
905	0.4514634499
906	0.4513955975
907	0.4513041003
908	0.4512417171
909	0.4512168625
910	0.4510753355
911	0.4509309368
912	0.4507613074
913	0.4506296577
914	0.4505236319
915	0.4503834944
916	0.4503304986
917	0.4502764907
918	0.4502158172
919	0.4501385091
920	0.4500863396
921	0.4500307586
922	0.4499899959
923	0.4498559067
924	0.4497657238
925	0.4497317507
926	0.4496596139
927	0.4496335493
928	0.4495399215
929	0.4494088142
930	0.4492803795
931	0.4491857952
932	0.4491377403
933	0.4491327522
934	0.4490467904
935	0.448986599
936	0.4488817168
937	0.4488302231
938	0.4487128956
939	0.4486700997
940	0.4486165174
941	0.4485587211
942	0.4484465966
943	0.4483144164
944	0.4482351096
945	0.4480823454
946	0.4480271175
947	0.4478847826
948	0.4477860987
949	0.4476574609
950	0.4475616818
951	0.4474884276
952	0.4474066184
953	0.4473112955
954	0.4471899536
955	0.4471569959
956	0.4470423907
957	0.4469121914
958	0.4467998384
959	0.4467654042
960	0.4466466399
961	0.4465909028
962	0.446525456
963	0.4464809606
964	0.4464419326
965	0.4463573031
966	0.4462507258
967	0.4461426841
968	0.4460418532
969	0.4459851769
970	0.4459692586
971	0.4459207177
972	0.445834152
973	0.4458135719
974	0.4456918399
975	0.4456309356
976	0.4455829403
977	0.4455190868
978	0.4455038719
979	0.4454147376
980	0.4453346664
981	0.4453134303
982	0.4451716922
983	0.4451134184
984	0.4450559052
985	0.4449784681
986	0.4449450714
987	0.4448414872
988	0.4447483841
989	0.4447037211
990	0.4445770062
991	0.4444889912
992	0.4444663346
993	0.4444465442
994	0.4443748271
995	0.4442787748
996	0.4441741698
997	0.444079248
998	0.4439359672
999	0.4437841647
